bin,frequency_nhz,fT,Sk_s2,clean_power_at_true_cw_s2,radiometer_power_at_true_cw_s2,clean_min_power_s2,clean_max_power_s2,clean_peak_ra_hours,clean_peak_dec_deg,retained_condition
1,3.1796811932685736,1.0,5.935822740001158e-17,2.9164329688574594e-15,1.075836145984992e-15,-1.342587624875775e-15,3.0050318102337627e-15,5.733333333333334,-41.0,13.231577276769398
2,6.359362386537147,2.0,4.078255027157275e-16,1.715565282705526e-14,6.546712395092943e-15,-7.202941945921494e-15,1.759659198731399e-14,5.800000000000001,-42.0,13.231577276532098
3,9.539043579805721,3.0,3.6753630890765605e-16,1.2945609443053508e-14,5.161043523565402e-15,-4.789920112166981e-15,1.3208401269318656e-14,5.800000000000001,-42.0,13.231577276118108
4,12.718724773074294,4.0,3.9714839113490705e-17,1.1883742117918256e-15,4.958174043127878e-16,-4.1234221479461223e-16,1.2067712512439102e-15,5.866666666666671,-42.0,13.231577274419747
